Company name,ASX code,GICS industry group,GICS Industry (Sub-Level),Share Price (AUD),Market Cap (Billion AUD),Outstanding Shares (Billion)
MAMMOTH MINERALS LIMITED,M79,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MANDRAKE RESOURCES LIMITED,MAN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MANHATTAN GOLD CORPORATION LIMITED,MHC,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
MANTLE MINERALS LIMITED,MTL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MANUKA RESOURCES LTD.,MKR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MANY PEAKS MINERALS LTD,MPK,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MARIMACA COPPER CORP.,MC2,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MARMOTA LIMITED,MEU,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
MARONAN METALS LIMITED,MMA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MARQUEE RESOURCES LIMITED,MQR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MARVEL GOLD LIMITED,MVL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MASTERMYNE GROUP LIMITED,MYE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MATRIX COMPOSITES & ENGINEERING LIMITED,MCE,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
MATSA RESOURCES LIMITED,MAT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MAXIPARTS LIMITED,MXI,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
MAYFIELD CHILDCARE LIMITED,MFD,Consumer Services,"Hotels, Restaurants & Leisure",,,
MAYFIELD GROUP HOLDINGS LIMITED,MYG,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
MAYNE PHARMA GROUP LIMITED,MYX,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
MB GOLD LIMITED,MBG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MC MINING LIMITED,MCM,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
MCLAREN MINERALS LIMITED,MML,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MCMILLAN SHAKESPEARE LIMITED,MMS,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
MCPHERSON'S LIMITED,MCP,Household & Personal Products,Household Products; Personal Products,,,
MCS SERVICES LIMITED,MSG,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
MEC RESOURCES LIMITED,MMR,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
MEDALLION METALS LIMITED.,MM8,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MEDALLION TRUST SERIES 2016-1,MZF,Not Applic,Other/Not Applicable,,,
MEDALLION TRUST SERIES 2016-2,MZT,Not Applic,Other/Not Applicable,,,
MEDALLION TRUST SERIES 2017-1,MZ1,Not Applic,Other/Not Applicable,,,
MEDALLION TRUST SERIES 2017-2,MZ2,Not Applic,Other/Not Applicable,,,
MEDIBANK PRIVATE LIMITED,MPL,Insurance,Insurance,,,
MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED,MVP,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
MEEKA METALS LIMITED,MEK,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MEGADO MINERALS LTD,MEG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MEGAPORT LIMITED,MP1,Software & Services,IT Services; Software,,,
MELBANA ENERGY LIMITED,MAY,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
MEMPHASYS LIMITED.,MEM,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
MERCURY NZ LIMITED,MCY,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
MERIDIAN ENERGY LIMITED,MEZ,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
MERINO & CO. LIMITED,MNC,Consumer Durables & Apparel,Household Durables; Leisure Products; Apparel,,,
MESOBLAST LIMITED,MSB,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
METAL BANK LIMITED,MBK,Materials,Chemicals; Construction Materials; Metals & Mining,,,
METAL HAWK LIMITED.,MHK,Materials,Chemicals; Construction Materials; Metals & Mining,,,
METAL POWDER WORKS LIMITED,MPW,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
METALLIUM LIMITED,MTM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
METALS AUSTRALIA LTD,MLS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
METALS X LIMITED,MLX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
METALSGROVE MINING LTD,MGA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
METALSTECH LIMITED,MTC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
METCASH LIMITED,MTS,Consumer Staples Distribution & Retail,Food & Staples Retailing,,,
METEORIC RESOURCES NL,MEI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
METGASCO LTD,MEL,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
METRICS INCOME OPPORTUNITIES TRUST,MOT,Not Applic,Other/Not Applicable,,,
METRICS MASTER INCOME TRUST,MXT,Not Applic,Other/Not Applicable,,,
METRICS REAL ESTATE MULTI-STRATEGY FUND,MRE,Not Applic,Other/Not Applicable,,,
METRO FINANCE 2023-1 TRUST,MF3,Not Applic,Other/Not Applicable,,,
METRO FINANCE 2023-2 TRUST,MF5,Not Applic,Other/Not Applicable,,,
METRO FINANCE 2024-1 TRUST,MF4,Not Applic,Other/Not Applicable,,,
METRO FINANCE 2025-1 TRUST,MF6,Not Applic,Other/Not Applicable,,,
METRO MINING LIMITED,MMI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
METRO PERFORMANCE GLASS LIMITED,MPP,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
MFF CAPITAL INVESTMENTS LIMITED,MFF,Not Applic,Other/Not Applicable,,,
MGX RESOURCES LIMITED,MGX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MICHAEL HILL INTERNATIONAL LIMITED,MHJ,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
MICRO-X LIMITED,MX1,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
MICROBA LIFE SCIENCES LIMITED,MAP,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED,MAM,Financial Services,Diversified Financials; Capital Markets,,,
MIDAS MINERALS LTD,MM1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MIDDLE ISLAND RESOURCES LIMITED,MDI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MINBOS RESOURCES LIMITED,MNB,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MINDAX LIMITED,MDX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MINERAL COMMODITIES LTD,MRC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MINERAL RESOURCES LIMITED,MIN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MINERALS 260 LIMITED,MI6,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MINERALS EXPLORATION LIMITED,MEX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MINREX RESOURCES LIMITED,MRR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MIRAMAR RESOURCES LIMITED,M2R,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MIRRABOOKA INVESTMENTS LIMITED,MIR,Not Applic,Other/Not Applicable,,,
MIRVAC GROUP,MGR,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
MITCHELL SERVICES LIMITED,MSV,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MITHRIL SILVER AND GOLD LIMITED,MTH,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MLG OZ LIMITED,MLG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MME AUTOPAY ABS 2024-1 TRUST,MM2,Not Applic,Other/Not Applicable,,,
MME PL 2025-1 TRUST,MM4,Not Applic,Other/Not Applicable,,,
MOAB MINERALS LIMITED,MOM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MOHO RESOURCES LIMITED,MOH,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MONADELPHOUS GROUP LIMITED,MND,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
MONASH IVF GROUP LIMITED,MVF,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
MONEYME LIMITED,MME,Financial Services,Diversified Financials; Capital Markets,,,
MONT ROYAL RESOURCES LIMITED,MRZ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MOONLIGHT RESOURCES LTD,ML8,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MORELLA CORPORATION LIMITED,1MC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MORPHIC ETHICAL EQUITIES FUND LIMITED,MEC,Financial Services,Diversified Financials; Capital Markets,,,
MOTIO LTD,MXO,Media & Entertainment,Media; Entertainment,,,
MOTORCYCLE HOLDINGS LIMITED,MTO,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
MOUNT HOPE MINING LIMITED,MHM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MOUNT RIDLEY MINES LIMITED,MRD,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MOVE LOGISTICS GROUP LIMITED,MOV,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
MPR AUSTRALIA LIMITED,MPR,Financial Services,Diversified Financials; Capital Markets,,,
MRG METALS LIMITED,MRQ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MT MALCOLM MINES NL,M2M,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MULTISTACK INTERNATIONAL LIMITED,MSI,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
MURRAY COD AUSTRALIA LIMITED,MCA,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
MUSTERA PROPERTY GROUP LIMITED,MPX,Real Estate Management & Development,Real Estate Management & Development,,,
MYECO GROUP LTD,MCO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MYER HOLDINGS LIMITED,MYR,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
MYSTATE LIMITED,MYS,Banks,Banks,,,
N1 HOLDINGS LIMITED,N1H,Financial Services,Diversified Financials; Capital Markets,,,
NAGAMBIE RESOURCES LIMITED,NAG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NANOLLOSE LIMITED,NC6,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
NANOSONICS LIMITED,NAN,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
NANOVEU LIMITED,NVU,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
NAOS EMERGING OPPORTUNITIES COMPANY LIMITED,NCC,Not Applic,Other/Not Applicable,,,
NAOS EX-50 OPPORTUNITIES COMPANY LIMITED,NAC,Not Applic,Other/Not Applicable,,,
NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED,NSC,Not Applic,Other/Not Applicable,,,
NARRYER METALS LIMITED,NYM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NATIONAL RMBS TRUST 2018-1 IN RESPECT OF SERIES 2018-1,NRO,Not Applic,Other/Not Applicable,,,
NATIONAL RMBS TRUST 2022-1 IN RESPECT OF SERIES 2022-1,NRP,Not Applic,Other/Not Applicable,,,
NATIONAL RMBS TRUST 2024-1,RM1,Not Applic,Other/Not Applicable,,,
NATIONAL STORAGE REIT,NSR,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
NATIONWIDE BUILDING SOCIETY.,NBS,Not Applic,Other/Not Applicable,,,
NATIVE MINERAL RESOURCES HOLDINGS LIMITED,NMR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NAVIGATOR GLOBAL INVESTMENTS LIMITED,NGI,Financial Services,Diversified Financials; Capital Markets,,,
NELSON RESOURCES LIMITED.,NES,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NEOMETALS LTD,NMT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NETWEALTH GROUP LIMITED,NWL,Financial Services,Diversified Financials; Capital Markets,,,
NEUREN PHARMACEUTICALS LIMITED,NEU,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
NEURIZER LTD,NRZ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NEURIZON THERAPEUTICS LIMITED,NUZ,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
NEUROSCIENTIFIC BIOPHARMACEUTICALS LTD,NSB,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
NEUROTECH INTERNATIONAL LIMITED,NTI,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
NEW AGE EXPLORATION LIMITED,NAE,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
NEW FRONTIER MINERALS LIMITED,NFM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NEW HOPE CORPORATION LIMITED,NHC,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
NEW MURCHISON GOLD LIMITED,NMG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NEW SOUTH WALES TREASURY CORPORATION,XNC,Not Applic,Other/Not Applicable,,,
NEW ZEALAND KING SALMON INVESTMENTS LIMITED,NZK,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
NEWMONT CORPORATION,NEM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NEWPEAK METALS LIMITED,NPM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NEWS CORPORATION..,NWS,Media & Entertainment,Media; Entertainment,,,
NEX METALS EXPLORATION LIMITED,NME,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NEXALIS THERAPEUTICS LTD,NX1,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
NEXGEN ENERGY (CANADA) LTD,NXG,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
NEXION GROUP LTD,NNG,Software & Services,IT Services; Software,,,
NEXSEN LIMITED,NXN,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
NEXTDC LIMITED,NXT,Software & Services,IT Services; Software,,,
NEXTED GROUP LIMITED,NXD,Consumer Services,"Hotels, Restaurants & Leisure",,,
NEXUS MINERALS LIMITED,NXM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NGE CAPITAL LIMITED,NGE,Not Applic,Other/Not Applicable,,,
NGX LIMITED,NGX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NH3 CLEAN ENERGY LIMITED,NH3,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NIB HOLDINGS LIMITED,NHF,Insurance,Insurance,,,
NICK SCALI LIMITED,NCK,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
NICKEL INDUSTRIES LIMITED,NIC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NICO RESOURCES LIMITED,NC1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NIDO EDUCATION LIMITED,NDO,Consumer Services,"Hotels, Restaurants & Leisure",,,
NIMY RESOURCES LIMITED,NIM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NINE ENTERTAINMENT CO. HOLDINGS LIMITED,NEC,Media & Entertainment,Media; Entertainment,,,
NOBLE HELIUM LIMITED,NHE,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
NOBLEOAK LIFE LIMITED,NOL,Insurance,Insurance,,,
NORDIC RESOURCES LTD,NNL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NORFOLK METALS LIMITED,NFL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NORONEX LIMITED,NRX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NORTH STAWELL MINERALS LTD,NSM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NORTHERN MINERALS LIMITED,NTU,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NORWEST MINERALS LIMITED,NWM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NORWOOD SYSTEMS LIMITED,NOR,Software & Services,IT Services; Software,,,
NOUMI LIMITED,NOU,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
NOVA EYE MEDICAL LIMITED,EYE,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
NOVA MINERALS LIMITED,NVA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NOVATTI GROUP LIMITED,NOV,Software & Services,IT Services; Software,,,
NOVIQTECH LIMITED,NVQ,Software & Services,IT Services; Software,,,
NOVO RESOURCES CORP.,NVO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NOVONIX LIMITED,NVX,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
NOW TRUST 2024-1,NW1,Not Applic,Other/Not Applicable,,,
NOXOPHARM LIMITED,NOX,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
NRW HOLDINGS LIMITED,NWH,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
NT MINERALS LIMITED,NTM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NTAW HOLDINGS LIMITED,NTD,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
NUCHEV LIMITED,NUC,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
NUENERGY GAS LIMITED,NGY,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
NUFARM FINANCE (NZ) LIMITED,NFN,Not Applic,Other/Not Applicable,,,
NUFARM LIMITED,NUF,Materials,Chemicals; Construction Materials; Metals & Mining,,,
NUIX LIMITED,NXL,Software & Services,IT Services; Software,,,
NUTRITIONAL GROWTH SOLUTIONS LTD,NGS,Household & Personal Products,Household Products; Personal Products,,,
NYRADA INC.,NYR,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
NZME LIMITED,NZM,Media & Entertainment,Media; Entertainment,,,
OAKAJEE CORPORATION LIMITED,OKJ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
OAKRIDGE INTERNATIONAL LIMITED,OAK,Software & Services,IT Services; Software,,,
OBJECTIVE CORPORATION LIMITED,OCL,Software & Services,IT Services; Software,,,
OCEANA METALS LIMITED,OCN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
OCEANIA HEALTHCARE LIMITED,OCA,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
OCTAVA MINERALS LIMITED,OCT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
OD6 METALS LIMITED,OD6,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ODESSA MINERALS LIMITED,ODE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ODYSSEY GOLD LTD,ODY,Materials,Chemicals; Construction Materials; Metals & Mining,,,
OFX GROUP LIMITED,OFX,Financial Services,Diversified Financials; Capital Markets,,,
OLDFIELDS HOLDINGS LIMITED,OLH,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
OLIVER'S REAL FOOD LIMITED,OLI,Consumer Services,"Hotels, Restaurants & Leisure",,,
OLYMPIO METALS LIMITED,OLY,Materials,Chemicals; Construction Materials; Metals & Mining,,,
OLYMPUS 2024-2 TRUST,OYS,Not Applic,Other/Not Applicable,,,
OLYMPUS 2025-1 TRUST,OY1,Not Applic,Other/Not Applicable,,,
OM HOLDINGS LIMITED,OMH,Materials,Chemicals; Construction Materials; Metals & Mining,,,
OMEGA OIL & GAS LIMITED,OMA,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
OMG GROUP LIMITED,OMG,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
OMNI BRIDGEWAY LIMITED,OBL,Financial Services,Diversified Financials; Capital Markets,,,
OMNIA METALS GROUP LTD,OM1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ONCOSIL MEDICAL LTD,OSL,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ONE CLICK GROUP LIMITED,1CG,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
ONEVIEW HEALTHCARE PLC,ONE,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
OOH!MEDIA LIMITED,OML,Media & Entertainment,Media; Entertainment,,,
OPENLEARNING LIMITED,OLL,Software & Services,IT Services; Software,,,
OPENN NEGOTIATION LIMITED,OPN,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
OPHIR HIGH CONVICTION FUND,OPH,Not Applic,Other/Not Applicable,,,
OPTHEA LIMITED,OPT,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
OPTISCAN IMAGING LIMITED,OIL,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
ORA BANDA MINING LTD,OBM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ORANGE MINERALS NL,OMX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ORBITAL CORPORATION LIMITED,OEC,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
ORBMINCO LIMITED,OB1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ORCODA LIMITED,ODA,Software & Services,IT Services; Software,,,
ORDE SERIES 2025-1 TRUST,OR2,Not Applic,Other/Not Applicable,,,
ORDELL MINERALS LIMITED,ORD,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ORDINARY (UNLISTED/LISTED - COSACS),ZOR,Not Applic,Other/Not Applicable,,,
ORE RESOURCES LIMITED,OR3,Materials,Chemicals; Construction Materials; Metals & Mining,,,
OREZONE GOLD CORPORATION,ORE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ORICA LIMITED,ORI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ORION EQUITIES LIMITED,OEQ,Financial Services,Diversified Financials; Capital Markets,,,
ORION MINERALS LTD,ORN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ORORA LIMITED,ORA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ORPHEUS URANIUM LIMITED,ORP,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ORTHOCELL LIMITED,OCC,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
OSMOND RESOURCES LIMITED,OSM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
OSTEOPORE LIMITED,OSX,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
OTTO ENERGY LIMITED,OEL,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
OVANTI LIMITED,OVT,Media & Entertainment,Media; Entertainment,,,
OZAURUM RESOURCES LIMITED,OZM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
OZZ RESOURCES LIMITED,OZZ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PACGOLD LIMITED,PGO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PACIFIC CURRENT GROUP LIMITED,PAC,Financial Services,Diversified Financials; Capital Markets,,,
PACIFIC EDGE LIMITED,PEB,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
PACIFIC LIME AND CEMENT LIMITED,PLA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PACIFIC NICKEL MINES LIMITED,PNM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PACIFIC RESOURCES LIMITED,PXR,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
PAINCHEK LTD,PCK,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
PALADIN ENERGY LTD,PDN,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
PANCONTINENTAL ENERGY NL,PCL,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
PANORAMA AUTO TRUST 2023-1,PA1,Not Applic,Other/Not Applicable,,,
PANORAMA AUTO TRUST 2023-3,PA3,Not Applic,Other/Not Applicable,,,
PANORAMA AUTO TRUST 2024-1,PA2,Not Applic,Other/Not Applicable,,,
PANORAMA AUTO TRUST 2024-3,PA4,Not Applic,Other/Not Applicable,,,
PANORAMA AUTO TRUST 2025-1,PA5,Not Applic,Other/Not Applicable,,,
PANORAMA AUTO TRUST 2025-3,PA6,Not Applic,Other/Not Applicable,,,
PANTERA MINERALS LIMITED,PFE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PANTHER METALS LTD,PNT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PANTORO GOLD LIMITED,PNR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PAPYRUS AUSTRALIA LIMITED,PPY,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PARABELLUM RESOURCES LIMITED,PBL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PARADIGM BIOPHARMACEUTICALS LIMITED..,PAR,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
PARAGON CARE LIMITED,PGC,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
PARKD LTD,PKD,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
PARKWAY CORPORATE LIMITED,PWN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PATAGONIA LITHIUM LTD,PL3,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PATERSON RESOURCES LTD,PSL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PATHKEY.AI LTD,PKY,Software & Services,IT Services; Software,,,
PATRIOT RESOURCES LIMITED,PAT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PATRONUS RESOURCES LIMITED,PTN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PATRYS LIMITED,PAB,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
PC GOLD LTD,PC2,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PEAK PROCESSING LIMITED,PKP,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
PEAKO LIMITED,PKO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PEARL GULL IRON LIMITED,PLG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PEEL MINING LIMITED,PEX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
PEET LIMITED,PPC,Real Estate Management & Development,Real Estate Management & Development,,,
PENGANA CAPITAL GROUP LIMITED,PCG,Financial Services,Diversified Financials; Capital Markets,,,
PENGANA GLOBAL PRIVATE CREDIT TRUST,PCX,Not Applic,Other/Not Applicable,,,
PENGANA INTERNATIONAL EQUITIES LIMITED,PIA,Not Applic,Other/Not Applicable,,,
PENGANA PRIVATE EQUITY TRUST,PE1,Not Applic,Other/Not Applicable,,,
PENINSULA ENERGY LIMITED,PEN,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
PENTANET LIMITED,5GG,Telecommunication Services,Diversified Telecommunication Services,,,
PEOPLEIN LIMITED,PPE,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
PEPPER MONEY LIMITED,PPM,Financial Services,Diversified Financials; Capital Markets,,,
